Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,paint_color,Brand_id,Model_id,Fuel_Type_id,Transmission_id,Owner_Type_id,paint_color_id
Tata,New,2007,103000,Diesel,Manual,First,14,2179,7,360000,white,27,118,1,1,0,10
Hyundai,i10,2009,43002,Petrol,Manual,First,20,1197,5,192000,red,10,209,4,1,0,8
Toyota,Innova,2016,108000,Diesel,Automatic,First,11,2755,7,2050000,black,28,98,1,0,0,0
Skoda,Laura,2010,82407,Diesel,Manual,First,18,1896,5,425000,white,25,106,1,1,0,10
Hyundai,Grand,2013,29000,Petrol,Manual,First,19,1197,5,320000,white,10,91,4,1,0,10
Toyota,Etios,2012,225000,Diesel,Manual,Second,24,1364,5,260000,red,28,72,1,1,2,8
Maruti,Swift,2014,45000,Diesel,Manual,First,23,1248,5,385000,red,18,169,1,1,0,8
Hyundai,i20,2010,93401,Diesel,Manual,First,23,1396,5,348000,white,10,210,1,1,0,10
Ford,Figo,2017,95802,Diesel,Manual,Second,26,1498,5,455000,black,8,77,1,1,2,0
Maruti,Ertiga,2016,130000,Diesel,Manual,First,25,1248,7,700000,black,18,69,1,1,0,0
Maruti,Ertiga,2013,67443,Diesel,Manual,First,21,1248,7,575000,silver,18,69,1,1,0,9
Honda,City,2016,47681,Petrol,Automatic,First,17,1497,5,873000,red,9,44,4,0,0,8
Maruti,Alto,2009,35000,Petrol,Manual,First,20,796,5,170000,grey,18,15,4,1,0,5
Ford,Endeavour,2016,68000,Diesel,Automatic,First,11,3198,7,2950000,red,8,67,1,0,0,8
Maruti,Vitara,2019,34688,Diesel,Manual,First,24,1248,5,1049000,white,18,186,1,1,0,10
Porsche,Boxster,2015,10512,Petrol,Automatic,First,9,2706,2,6400000,red,23,30,4,0,0,8
Maruti,Swift,2016,58000,Diesel,Manual,First,23,1248,5,755000,red,18,169,1,1,0,8
Tata,Zest,2014,40000,Petrol,Manual,First,18,1193,5,395000,black,27,208,4,1,0,0
Hyundai,i20,2010,61000,Petrol,Manual,Fourth & Above,17,1197,5,325000,green,10,210,4,1,1,4
Skoda,Fabia,2009,86000,Diesel,Manual,First,19,1422,5,275000,red,25,75,1,1,0,8
Toyota,Corolla,2015,45000,Diesel,Manual,First,21,1364,5,735000,black,28,51,1,1,0,0
Volkswagen,Ameo,2017,55000,Petrol,Manual,First,17,1198,5,470000,custom,29,17,4,1,0,3
Hyundai,Creta,2016,36855,Petrol,Manual,Second,15,1591,5,877000,grey,10,53,4,1,2,5
Hyundai,i10,2013,46821,Petrol,Manual,First,20,1197,5,342000,black,10,209,4,1,0,0
Chevrolet,Beat,2015,120000,Petrol,Manual,First,19,1199,5,250000,blue,4,26,4,1,0,1
Jaguar,XF,2012,29000,Diesel,Automatic,First,15,2993,5,2000000,black,13,198,1,0,0,0
Nissan,Terrano,2014,40000,Petrol,Manual,First,13,1598,5,525000,red,22,174,4,1,0,8
Audi,Q3,2013,60000,Diesel,Automatic,Second,16,1968,5,1450000,black,1,135,1,0,2,0
Hyundai,i10,2011,64984,Petrol,Automatic,First,17,1197,5,345000,silver,10,209,4,0,0,9
Maruti,Alto,2015,73204,Petrol,Automatic,First,24,998,5,330000,silver,18,15,4,0,0,9
Audi,Q7,2014,50000,Diesel,Automatic,First,11,4134,7,5100000,silver,1,137,1,0,0,9
Maruti,Vitara,2017,35000,Diesel,Manual,First,24,1248,5,650000,silver,18,186,1,1,0,9
Hyundai,EON,2013,17729,Petrol,Manual,First,21,814,5,365000,grey,10,61,4,1,0,5
Mahindra,XUV300,2012,97000,Diesel,Manual,First,20,1497,5,725000,grey,17,200,1,1,0,5
Hyundai,Verna,2014,89614,Diesel,Manual,First,22,1582,5,601000,black,10,184,1,1,0,0
Maruti,Wagon R,2015,14000,Petrol,Manual,First,19,998,5,280000,red,18,189,4,1,0,8
Hyundai,i20,2012,50000,Petrol,Manual,First,17,1197,5,400000,white,10,210,4,1,0,10
Honda,City,2014,62505,Petrol,Manual,First,17,1497,5,595000,black,9,44,4,1,0,0
Toyota,Innova,2011,248000,Diesel,Manual,Second,13,2494,7,919999,white,28,98,1,1,2,10
Hyundai,Verna,2012,94900,Diesel,Manual,First,17,1493,5,535000,black,10,184,1,1,0,0
Tata,Hexa,2017,55000,Diesel,Manual,First,18,2179,7,1200000,silver,27,93,1,1,0,9
Audi,Q7,2015,53735,Diesel,Automatic,Second,12,2967,7,3894000,white,1,137,1,0,2,10
Maruti,Wagon R,2008,53934,Petrol,Manual,Second,19,998,5,269000,black,18,189,4,1,2,0
BMW,5,2013,58500,Diesel,Automatic,Second,17,1995,5,2750000,white,2,3,1,0,2,10
Honda,Amaze,2014,48000,Petrol,Manual,First,18,1198,5,275000,white,9,16,4,1,0,10
Maruti,Alto,2016,24000,Petrol,Manual,First,25,796,5,280000,white,18,15,4,1,0,10
Hyundai,Verna,2016,52001,Petrol,Manual,First,17,1591,5,645000,white,10,184,4,1,0,10
Tata,Tiago,2018,9565,Petrol,Manual,First,24,1199,5,588000,red,27,176,4,1,0,8
Maruti,Swift,2013,32953,Petrol,Manual,First,19,1197,5,465000,grey,18,169,4,1,0,5
Hyundai,EON,2014,18000,Petrol,Manual,First,21,814,5,250000,black,10,61,4,1,0,0
Mercedes-Benz,E-Class,2018,20446,Petrol,Automatic,First,13,1950,5,5135000,black,19,60,4,0,0,0
Hyundai,i20,2016,33016,Diesel,Manual,First,23,1396,5,685000,silver,10,210,1,1,0,9
Toyota,Etios,2012,48000,Diesel,Manual,First,24,1364,5,525000,silver,28,72,1,1,0,9
Toyota,Corolla,2014,72022,Diesel,Manual,First,21,1364,5,923000,black,28,51,1,1,0,0
Mini,Cooper,2014,34000,Diesel,Automatic,First,21,1496,5,2200000,black,20,50,1,0,0,0
Volkswagen,Polo,2014,69000,Diesel,Manual,First,20,1498,5,519000,blue,29,131,1,1,0,1
Skoda,Superb,2009,108000,Petrol,Automatic,First,14,1798,5,434999,black,25,168,4,0,0,0
Mercedes-Benz,E-Class,2013,34700,Diesel,Automatic,First,10,2148,5,2450000,silver,19,60,1,0,0,9
Maruti,Swift,2015,79000,Diesel,Manual,First,18,1248,5,575000,silver,18,169,1,1,0,9
Honda,City,2016,58197,Petrol,Automatic,First,18,1497,5,919000,black,9,44,4,0,0,0
BMW,7,2008,66000,Petrol,Automatic,Second,8,2979,5,1075000,silver,2,5,4,0,2,9
Hyundai,i10,2009,60000,Petrol,Automatic,First,19,1197,5,299000,grey,10,209,4,0,0,5
Maruti,Swift,2014,57000,Diesel,Manual,First,27,1248,5,389000,white,18,169,1,1,0,10
Honda,City,2018,45555,Diesel,Manual,First,26,1498,5,1173000,silver,9,44,1,1,0,9
Maruti,Omni,2016,55137,Petrol,Manual,First,14,796,5,311000,black,18,122,4,1,0,0
Skoda,Superb,2014,93325,Diesel,Manual,Second,17,1968,5,1445000,grey,25,168,1,1,2,5
Maruti,Ertiga,2018,38000,Diesel,Manual,First,25,1248,7,869999,silver,18,69,1,1,0,9
Hyundai,Grand,2016,57738,Diesel,Manual,First,24,1120,5,504000,silver,10,91,1,1,0,9
Maruti,Ciaz,2017,38282,Diesel,Manual,First,28,1248,5,850000,black,18,43,1,1,0,0
Mercedes-Benz,New,2014,64000,Diesel,Automatic,First,19,2143,5,1565000,blue,19,118,1,0,0,1
Fiat,Avventura,2015,32000,Diesel,Manual,First,21,1248,5,565000,white,6,21,1,1,0,10
Mercedes-Benz,E-Class,2010,83000,Petrol,Automatic,First,11,2497,5,1650000,white,19,60,4,0,0,10
Maruti,Zen,2011,76000,CNG,Manual,First,26,998,5,200000,white,18,207,0,1,0,10
Volkswagen,Vento,2012,67200,Petrol,Manual,First,15,1598,5,390000,white,29,181,4,1,0,10
BMW,3,2013,62655,Diesel,Automatic,First,19,1995,5,1450000,grey,2,2,1,0,0,5
BMW,5,2015,16900,Diesel,Automatic,First,15,2993,5,4400000,white,2,3,1,0,0,10
Hyundai,Grand,2017,8471,Petrol,Manual,First,19,1197,5,500000,black,10,91,4,1,0,0
Toyota,Innova,2016,69000,Diesel,Automatic,First,11,2755,7,1975000,red,28,98,1,0,0,8
Renault,Duster,2017,30090,Diesel,Automatic,First,20,1461,5,1144000,black,24,57,1,0,0,0
Tata,Indica,2011,120000,Diesel,Manual,First,18,1248,5,175000,black,27,96,1,1,0,0
Maruti,Swift,2013,23000,Diesel,Manual,First,18,1248,5,560000,black,18,169,1,1,0,0
Mercedes-Benz,E-Class,2016,35939,Petrol,Manual,First,12,1796,5,3042000,silver,19,60,4,1,0,9
Mahindra,XUV500,2013,116694,Diesel,Manual,First,15,2179,7,957000,white,17,201,1,1,0,10
Mahindra,Bolero,2016,40448,Diesel,Manual,First,16,2523,7,350000,white,17,28,1,1,0,10
Maruti,Vitara,2018,64456,Diesel,Manual,First,24,1248,5,1046000,silver,18,186,1,1,0,9
Fiat,Avventura,2014,52782,Diesel,Manual,First,21,1248,5,484999,silver,6,21,1,1,0,9
Honda,Amaze,2016,51672,Petrol,Manual,First,20,1199,5,568000,green,9,16,4,1,0,4
Skoda,Superb,2015,56073,Petrol,Automatic,First,14,1798,5,1325000,silver,25,168,4,0,0,9
Jaguar,XF,2011,65000,Diesel,Automatic,First,15,2993,5,1600000,silver,13,198,1,0,0,9
Maruti,Wagon R,2013,79000,Petrol,Manual,First,19,998,5,300000,white,18,189,4,1,0,10
Hyundai,Santro,2007,43206,Petrol,Manual,First,17,1086,5,99000,red,10,159,4,1,0,8
Toyota,Corolla,2010,70200,Petrol,Automatic,First,15,1798,5,500000,brown,28,51,4,0,0,2
Maruti,Swift,2016,42000,Petrol,Manual,First,16,1197,5,475000,grey,18,169,4,1,0,5
Volkswagen,Polo,2014,62000,Petrol,Manual,First,16,1198,5,535000,black,29,131,4,1,0,0
Hyundai,Grand,2017,20000,Petrol,Manual,First,19,1197,5,598000,white,10,91,4,1,0,10
Maruti,SX4,2011,80000,Diesel,Manual,Third,22,1248,5,350000,black,18,155,1,1,3,0
Hyundai,Grand,2018,50234,Petrol,Manual,First,19,1197,5,476999,blue,10,91,4,1,0,1
Maruti,Baleno,2016,50003,Petrol,Manual,First,21,1197,5,545000,black,18,25,4,1,0,0
Tata,Tigor,2018,1000,Petrol,Automatic,First,20,1199,5,685000,black,27,177,4,0,0,0
Maruti,Swift,2016,54897,Diesel,Automatic,First,27,1248,5,730000,blue,18,169,1,0,0,1
Tata,Indica,2007,108995,Petrol,Manual,First,15,1193,5,125000,black,27,96,4,1,0,0
Maruti,SX4,2015,73000,Diesel,Manual,First,23,1598,5,825000,red,18,155,1,1,0,8
Maruti,Swift,2008,65000,Petrol,Manual,First,16,1298,5,271000,white,18,169,4,1,0,10
Hyundai,Xcent,2016,32000,Petrol,Manual,First,19,1197,5,360000,white,10,202,4,1,0,10
Hyundai,i20,2010,65000,Petrol,Manual,First,19,1197,5,300000,black,10,210,4,1,0,0
Maruti,Celerio,2016,21600,Petrol,Automatic,First,23,998,5,465000,black,18,42,4,0,0,0
Mercedes-Benz,New,2010,39000,Diesel,Automatic,First,15,2143,5,950000,black,19,118,1,0,0,0
Maruti,Swift,2011,58075,Petrol,Manual,First,18,1298,5,295000,white,18,169,4,1,0,10
Volkswagen,Vento,2011,58000,Petrol,Manual,First,15,1598,5,300000,silver,29,181,4,1,0,9
Maruti,Swift,2015,58000,Diesel,Manual,First,25,1248,5,595000,white,18,169,1,1,0,10
Toyota,Corolla,2008,89000,Petrol,Automatic,First,15,1798,5,400000,black,28,51,4,0,0,0
Honda,Civic,2008,72000,Petrol,Manual,First,14,1799,5,250000,white,9,45,4,1,0,10
Ford,EcoSport,2017,1800,Petrol,Automatic,First,16,1499,5,1137000,white,8,62,4,0,0,10
Fiat,Linea,2010,172050,Diesel,Manual,Second,19,1248,5,225000,white,6,107,1,1,2,10
Hyundai,i10,2013,46230,Petrol,Manual,First,20,1086,5,310000,silver,10,209,4,1,0,9
Volvo,XC60,2014,86925,Diesel,Automatic,First,11,2400,5,1718000,black,30,195,1,0,0,0
Hyundai,i20,2018,5000,Petrol,Manual,First,19,1197,5,650000,silver,10,210,4,1,0,9
Honda,City,2014,66000,Diesel,Manual,First,26,1498,5,570000,black,9,44,1,1,0,0
Toyota,Innova,2013,119000,Diesel,Manual,First,13,2494,8,800000,white,28,98,1,1,0,10
Renault,KWID,2016,45000,Petrol,Manual,First,25,799,5,260000,brown,24,103,4,1,0,2
Maruti,A-Star,2009,66149,Petrol,Manual,First,19,998,5,245000,brown,18,8,4,1,0,2
Mercedes-Benz,B,2014,42070,Petrol,Automatic,First,15,1595,5,1157000,silver,19,22,4,0,0,9
Maruti,Wagon R,2012,35503,Petrol,Manual,First,19,998,5,229999,grey,18,189,4,1,0,5
Maruti,Swift,2016,41460,Diesel,Manual,First,25,1248,5,590000,grey,18,169,1,1,0,5
Hyundai,Verna,2015,40600,Petrol,Automatic,First,17,1591,5,720000,blue,10,184,4,0,0,1
Hyundai,Verna,2013,87000,Diesel,Automatic,First,22,1582,5,590000,white,10,184,1,0,0,10
Honda,City,2014,30000,Petrol,Manual,Second,17,1497,5,600000,white,9,44,4,1,2,10
Hyundai,i10,2010,27089,Petrol,Manual,First,16,1086,5,195000,blue,10,209,4,1,0,1
Toyota,Etios,2016,53702,Diesel,Manual,First,24,1364,5,655000,black,28,72,1,1,0,0
Volvo,S60,2015,51000,Diesel,Automatic,First,27,1969,5,2500000,black,30,150,1,0,0,0
Ford,Figo,2012,36542,Diesel,Manual,First,20,1399,5,265000,black,8,77,1,1,0,0
Mercedes-Benz,E-Class,2017,15000,Diesel,Automatic,First,13,2987,5,6950000,black,19,60,1,0,0,0
BMW,3,2012,65000,Diesel,Automatic,First,23,1995,5,1400000,white,2,2,1,0,0,10
Maruti,Alto,2014,32000,Petrol,Manual,Second,23,796,5,210000,silver,18,15,4,1,2,9
Toyota,Innova,2017,24393,Diesel,Manual,First,14,2393,7,2039999,black,28,98,1,1,0,0
Volkswagen,Polo,2019,1000,Petrol,Manual,First,19,999,5,568000,white,29,131,4,1,0,10
Nissan,Terrano,2014,28238,Petrol,Manual,First,13,1598,5,555000,silver,22,174,4,1,0,9
Mitsubishi,Pajero,2013,59000,Diesel,Manual,First,14,2477,7,1275000,silver,21,126,1,1,0,9
Honda,Civic,2012,92000,Petrol,Manual,Second,15,1799,5,335000,black,9,45,4,1,2,0
Maruti,Alto,2013,56840,Petrol,Manual,First,23,796,5,155000,white,18,15,4,1,0,10
Volkswagen,Vento,2013,62746,Diesel,Manual,Second,21,1598,5,590000,white,29,181,1,1,2,10
Land,Rover,2012,96000,Diesel,Automatic,First,12,2179,5,1898000,white,16,146,1,0,0,10
Honda,CR-V,2014,24000,Petrol,Manual,First,14,1997,5,1151000,black,9,35,4,1,0,0
Maruti,Ertiga,2016,54000,Diesel,Manual,First,21,1248,7,775000,white,18,69,1,1,0,10
Toyota,Innova,2016,90000,Diesel,Manual,First,13,2494,7,1390000,red,28,98,1,1,0,8
Tata,Manza,2010,40000,Petrol,Manual,First,15,1368,5,135000,grey,27,112,4,1,0,5
Audi,Q7,2015,65938,Diesel,Automatic,Second,12,2967,7,3800000,blue,1,137,1,0,2,1
Hyundai,Verna,2017,16100,Petrol,Automatic,First,17,1591,5,1160000,white,10,184,4,0,0,10
Volkswagen,Vento,2017,3600,Diesel,Automatic,First,22,1498,5,1225000,silver,29,181,1,0,0,9
Honda,City,2011,52000,Petrol,Manual,First,17,1497,5,380000,white,9,44,4,1,0,10
Ford,Figo,2014,54000,Diesel,Manual,First,20,1399,5,325000,white,8,77,1,1,0,10
Honda,Jazz,2016,15399,Petrol,Manual,First,19,1199,5,640000,blue,9,99,4,1,0,1
Volkswagen,Polo,2012,75000,Petrol,Manual,Second,16,1198,5,395000,silver,29,131,4,1,2,9
Honda,City,2010,76752,Petrol,Manual,First,17,1497,5,357000,white,9,44,4,1,0,10
Honda,City,2005,56000,Petrol,Manual,Second,18,1497,5,125000,white,9,44,4,1,2,10
Maruti,Wagon R,2015,70000,CNG,Manual,First,26,998,5,365000,white,18,189,0,1,0,10
Honda,CR-V,2013,46125,Petrol,Automatic,Second,12,2354,5,1250000,brown,9,35,4,0,2,2
BMW,5,2014,35000,Diesel,Automatic,Second,18,1995,5,2300000,silver,2,3,1,0,2,9
Ambassador,Classic,2003,80000,Diesel,Manual,Third,13,1489,5,135000,grey,0,46,1,1,3,5
Mahindra,Scorpio,2012,62729,Diesel,Manual,First,12,2179,8,632000,white,17,161,1,1,0,10
Volkswagen,Vento,2012,34000,Diesel,Manual,First,21,1598,5,340000,blue,29,181,1,1,0,1
Maruti,Zen,1999,70000,Petrol,Manual,Second,17,993,5,77000,blue,18,207,4,1,2,1
Maruti,800,2009,32000,Petrol,Manual,First,16,796,4,90000,silver,18,6,4,1,0,9
Toyota,Corolla,2017,21000,Petrol,Automatic,First,14,1798,5,1800000,silver,28,51,4,0,0,9
BMW,3,2013,49000,Petrol,Automatic,First,15,1997,5,1900000,white,2,2,4,0,0,10
Ford,Ikon,2007,40000,Petrol,Manual,Third,14,1299,5,110000,black,8,95,4,1,3,0
Chevrolet,Beat,2012,78000,Petrol,Manual,Second,19,1199,5,200000,black,4,26,4,1,2,0
Toyota,Corolla,2012,52000,Diesel,Manual,First,21,1364,5,650000,black,28,51,1,1,0,0
Mahindra,XUV500,2014,65213,Diesel,Manual,First,16,2179,7,944999,white,17,201,1,1,0,10
Hyundai,Xcent,2016,170000,Diesel,Manual,First,24,1120,5,400000,red,10,202,1,1,0,8
Mercedes-Benz,E-Class,2017,36884,Diesel,Automatic,First,13,2143,5,3225000,white,19,60,1,0,0,10
Hyundai,i10,2009,62500,Petrol,Manual,First,20,1197,5,210000,red,10,209,4,1,0,8
Toyota,Corolla,2015,68000,Petrol,Automatic,Second,14,1798,5,975000,red,28,51,4,0,2,8
Toyota,Corolla,2014,40748,Petrol,Manual,First,15,1798,5,630000,silver,28,51,4,1,0,9
Audi,Q3,2013,60000,Diesel,Automatic,First,17,1968,5,2100000,silver,1,135,1,0,0,9
Hyundai,i20,2014,12400,Diesel,Manual,First,22,1396,5,465000,white,10,210,1,1,0,10
Mercedes-Benz,New,2013,87000,Diesel,Automatic,Second,19,2143,5,1700000,red,19,118,1,0,2,8
Maruti,Ritz,2013,20248,Diesel,Manual,First,21,1248,5,434999,white,18,145,1,1,0,10
Hyundai,Creta,2017,52383,Diesel,Manual,First,20,1582,5,1482000,grey,10,53,1,1,0,5
Jaguar,XE,2018,1000,Diesel,Automatic,First,14,1999,5,4000000,red,13,197,1,0,0,8
Mahindra,Xylo,2016,85000,Diesel,Manual,First,15,2489,7,615000,grey,17,204,1,1,0,5
Toyota,Innova,2014,47000,Diesel,Manual,First,13,2494,7,1125000,grey,28,98,1,1,0,5
Toyota,Camry,2018,17585,Petrol,Automatic,First,19,2494,5,3200000,white,28,36,4,0,0,10
Audi,Q5,2018,32496,Diesel,Automatic,First,13,2967,5,4562000,red,1,136,1,0,0,8
Maruti,Swift,2017,34613,Diesel,Manual,First,28,1248,5,624000,black,18,169,1,1,0,0
Maruti,Ertiga,2015,153000,Diesel,Manual,First,21,1248,7,480000,red,18,69,1,1,0,8
Maruti,Swift,2014,54000,Petrol,Manual,Second,16,1197,5,450000,white,18,169,4,1,2,10
Hyundai,i10,2015,16900,Petrol,Manual,First,20,1197,5,387000,silver,10,209,4,1,0,9
Hyundai,i10,2013,62334,Petrol,Manual,First,20,1197,5,275000,white,10,209,4,1,0,10
Maruti,Baleno,2018,23714,Petrol,Manual,First,21,1197,5,657000,white,18,25,4,1,0,10
Hyundai,Aent,2010,52325,Petrol,Manual,First,16,1495,5,200000,green,10,14,4,1,0,4
Honda,Brio,2012,50000,Petrol,Manual,First,19,1198,5,365000,green,9,31,4,1,0,4
Maruti,Swift,2016,55746,Diesel,Manual,First,23,1248,5,695000,green,18,169,1,1,0,4
Hyundai,Xcent,2014,54000,Petrol,Manual,First,20,1197,5,550000,green,10,202,4,1,0,4
Mahindra,XUV500,2013,43000,Diesel,Manual,First,16,2179,7,700000,blue,17,201,1,1,0,1
Mercedes-Benz,E-Class,2014,40000,Diesel,Automatic,First,13,2143,5,2400000,blue,19,60,1,0,0,1
Land,Rover,2010,125000,Diesel,Automatic,Second,0,2179,5,1100000,blue,16,146,1,0,2,1
Mercedes-Benz,New,2016,51944,Diesel,Automatic,First,19,2143,5,3250000,blue,19,118,1,0,0,1
Hyundai,i20,2015,46950,Diesel,Manual,First,21,1396,5,645000,grey,10,210,1,1,0,5
Skoda,Octavia,2015,23000,Diesel,Automatic,First,19,1968,5,1575000,black,25,121,1,0,0,0
Honda,City,2014,54546,Petrol,Manual,First,17,1497,5,550000,black,9,44,4,1,0,0
Toyota,Fortuner,2015,51535,Diesel,Automatic,First,13,2982,7,1903000,silver,28,79,1,0,0,9
Audi,Q3,2013,45000,Diesel,Automatic,First,17,1968,5,1525000,white,1,135,1,0,0,10
Maruti,Alto,2012,46004,Petrol,Manual,First,21,998,5,240000,white,18,15,4,1,0,10
Tata,Indigo,2011,124000,Diesel,Manual,First,23,1396,5,229999,green,27,97,1,1,0,4
Audi,A4,2014,77395,Diesel,Automatic,First,17,1968,5,1435000,silver,1,10,1,0,0,9
Maruti,Alto,2018,10600,CNG,Manual,First,33,796,4,350000,white,18,15,0,1,0,10
Honda,City,2018,22974,Petrol,Automatic,First,18,1497,5,1197000,blue,9,44,4,0,0,1
Hyundai,Santro,2009,89000,Petrol,Manual,Second,0,999,5,160000,silver,10,159,4,1,2,9
Toyota,Fortuner,2015,65012,Diesel,Manual,First,14,2755,7,1889999,silver,28,79,1,1,0,9
Hyundai,Grand,2017,17125,Petrol,Manual,First,19,1197,5,540000,white,10,91,4,1,0,10
Maruti,Eeco,2015,90413,Petrol,Manual,First,15,1196,7,295000,black,18,64,4,1,0,0
Volkswagen,Polo,2013,37000,Petrol,Manual,First,16,1198,5,509999,black,29,131,4,1,0,0
Maruti,Wagon R,2006,65000,Petrol,Manual,First,19,1061,5,150000,white,18,189,4,1,0,10
Honda,City,2011,66000,Petrol,Manual,First,17,1497,5,490000,blue,9,44,4,1,0,1
Honda,Civic,2010,86000,Petrol,Manual,First,15,1799,5,290000,silver,9,45,4,1,0,9
Honda,City,2005,98437,Petrol,Manual,First,13,1493,5,114999,silver,9,44,4,1,0,9
Hyundai,i20,2010,18000,Petrol,Manual,First,19,1197,5,229999,silver,10,210,4,1,0,9
Hyundai,Grand,2018,35070,Diesel,Manual,First,24,1120,5,599000,white,10,91,1,1,0,10
Volkswagen,Vento,2011,42000,Petrol,Automatic,Third,14,1598,5,340000,black,29,181,4,0,3,0
Hyundai,i10,2009,40000,Petrol,Manual,First,20,1197,5,170000,black,10,209,4,1,0,0
Hyundai,i20,2009,43000,Petrol,Manual,First,17,1197,5,199000,white,10,210,4,1,0,10
Chevrolet,Beat,2012,65000,Petrol,Manual,First,19,1199,5,250000,white,4,26,4,1,0,10
Volkswagen,Polo,2013,74000,Diesel,Manual,First,22,1199,5,484999,white,29,131,1,1,0,10
Ford,Figo,2010,51192,Petrol,Manual,First,16,1196,5,265000,silver,8,77,4,1,0,9
Audi,TT,2014,14262,Petrol,Automatic,First,10,1984,2,2735000,white,1,170,4,0,0,10
Honda,City,2015,66339,Diesel,Manual,Second,25,1498,5,690000,silver,9,44,1,1,2,9
Ford,Figo,2013,90200,Diesel,Manual,First,20,1399,5,350000,silver,8,77,1,1,0,9
Toyota,Innova,2015,57854,Diesel,Manual,First,13,2494,7,1250000,red,28,98,1,1,0,8
Maruti,Ciaz,2017,32000,Petrol,Automatic,First,19,1373,5,919999,red,18,43,4,0,0,8
Hyundai,Grand,2015,29631,Petrol,Automatic,First,19,1197,5,490000,white,10,91,4,0,0,10
Honda,City,2009,55005,Petrol,Manual,First,13,0,0,320000,white,9,44,4,1,0,10
Ford,EcoSport,2014,54173,Petrol,Manual,First,19,999,5,555000,white,8,62,4,1,0,10
Skoda,Octavia,2014,50000,Petrol,Automatic,First,15,1798,5,1350000,black,25,121,4,0,0,0
Fiat,Linea,2010,145000,Diesel,Manual,First,20,1248,5,260000,black,6,107,1,1,0,0
Maruti,Swift,2015,78000,Petrol,Manual,First,16,1298,5,450000,black,18,169,4,1,0,0
Land,Rover,2013,65000,Diesel,Automatic,Second,12,2993,7,3400000,black,16,146,1,0,2,0
Toyota,Innova,2012,120000,Diesel,Manual,First,13,2494,7,1200000,black,28,98,1,1,0,0
Maruti,Swift,2015,14000,Diesel,Manual,First,28,1248,5,525000,black,18,169,1,1,0,0
Audi,A6,2014,57456,Diesel,Automatic,First,18,1968,5,2156000,grey,1,11,1,0,0,5
BMW,5,2012,44450,Diesel,Automatic,First,22,1995,5,2468000,black,2,3,1,0,0,0
Hyundai,i20,2013,63777,Petrol,Manual,First,19,1197,5,367000,black,10,210,4,1,0,0
BMW,X1,2016,31000,Diesel,Automatic,First,17,1995,5,2950000,white,2,191,1,0,0,10
Toyota,Etios,2012,60000,Petrol,Manual,First,18,1496,5,310000,white,28,72,4,1,0,10
Tata,Indigo,2015,78008,Diesel,Manual,First,17,1405,5,290000,silver,27,97,1,1,0,9
Mercedes-Benz,M-Class,2014,33000,Diesel,Automatic,Second,0,2987,5,4300000,white,19,110,1,0,2,10
Volkswagen,Beetle,2009,27078,Petrol,Automatic,First,11,1984,4,1595000,white,29,27,4,0,0,10
Volkswagen,Polo,2011,57275,Diesel,Manual,First,20,1598,5,450000,brown,29,131,1,1,0,2
Hyundai,Grand,2014,45000,Diesel,Manual,First,24,1120,5,349000,black,10,91,1,1,0,0
Maruti,Swift,2014,57319,Diesel,Manual,First,25,1248,5,425000,silver,18,169,1,1,0,9
Hyundai,Verna,2008,121097,Diesel,Manual,Second,24,1396,5,190000,grey,10,184,1,1,2,5
BMW,5,2011,89000,Diesel,Automatic,First,17,1995,5,1657000,black,2,3,1,0,0,0
Honda,City,2012,72000,Petrol,Manual,First,17,1497,5,575000,black,9,44,4,1,0,0
Audi,A4,2013,36000,Diesel,Automatic,Second,17,1968,5,1400000,white,1,10,1,0,2,10
Fiat,Linea,2013,86000,Diesel,Manual,Second,20,1248,5,250000,red,6,107,1,1,2,8
Honda,City,2002,85000,Petrol,Manual,First,13,1343,5,120000,brown,9,44,4,1,0,2
Fiat,Petra,2005,120000,Petrol,Manual,Second,16,1242,5,85000,silver,6,129,4,1,2,9
BMW,3,2013,37613,Diesel,Automatic,First,23,1995,5,1395000,white,2,2,1,0,0,10
Ford,Fiesta,2007,100000,Petrol,Manual,First,17,1388,5,160000,black,8,76,4,1,0,0
Tata,Nano,2016,5240,Petrol,Automatic,First,22,624,4,360000,silver,27,117,4,0,0,9
Maruti,Eeco,2018,20000,CNG,Manual,First,15,1196,5,450000,blue,18,64,0,1,0,1
Maruti,Ignis,2019,16862,Petrol,Manual,First,21,1197,5,606000,blue,18,94,4,1,0,1
Maruti,Swift,2013,59254,Petrol,Manual,Second,18,1298,5,529000,black,18,169,4,1,2,0
Ford,Ecosport,2014,60000,Diesel,Manual,First,23,1498,5,575000,white,8,63,1,1,0,10
Maruti,Swift,2015,50295,Petrol,Manual,First,16,0,0,580000,white,18,169,4,1,0,10
Maruti,Swift,2014,47674,Petrol,Manual,First,19,1197,5,572000,white,18,169,4,1,0,10
Hyundai,i10,2014,61517,Petrol,Automatic,First,17,1197,5,438999,white,10,209,4,0,0,10
Mahindra,XUV500,2016,62946,Diesel,Manual,First,15,2179,7,1105000,white,17,201,1,1,0,10
Hyundai,i20,2015,66823,Diesel,Manual,Second,23,1396,5,483000,blue,10,210,1,1,2,1
Maruti,Wagon R,2013,79494,CNG,Manual,First,34,998,5,296000,white,18,189,0,1,0,10
